timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1538518166127,2132,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,641,0,44
1538518166106,2502,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,655,0,46
1538518167067,2331,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,736,0,31
1538518166964,2548,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,689,0,33
1538518167451,2243,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,904,0,70
1538518167378,2399,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,806,0,43
1538518167947,1972,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,778,0,56
1538518167925,2170,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,961,0,70
1538518167969,2445,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,742,0,61
1538518167742,2842,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,912,0,85
1538518168259,2476,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,870,0,55
1538518168608,2460,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,649,0,82
1538518169512,2522,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,966,0,82
1538518169777,2312,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,1096,0,62
1538518169694,2430,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,1056,0,65
1538518169397,2772,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,605,0,94
