timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797989308,2494,POST /purchases,200,OK,Point of Sales API 1-11,text,true,,443,1953,14,14,2494,0,0
1534797990374,2426,POST /purchases,200,OK,Point of Sales API 1-7,text,true,,443,1953,15,15,2426,0,13
1534797991100,1891,POST /purchases,200,OK,Point of Sales API 1-13,text,true,,443,1953,15,15,1891,0,0
1534797979672,13411,POST /purchases,200,OK,Point of Sales API 1-3,text,true,,443,1953,15,15,13411,0,0
1534797981877,11407,POST /purchases,200,OK,Point of Sales API 1-2,text,true,,443,1953,15,15,11407,0,55
1534797981735,11734,POST /purchases,200,OK,Point of Sales API 1-6,text,true,,443,1953,15,15,11734,0,57
1534797990633,2839,POST /purchases,200,OK,Point of Sales API 1-12,text,true,,443,1953,15,15,2839,0,0
1534797992538,2048,POST /purchases,200,OK,Point of Sales API 1-15,text,true,,443,1953,16,16,2048,0,53
1534797991802,3698,POST /purchases,200,OK,Point of Sales API 1-11,text,true,,443,1953,17,17,3698,0,49
1534797993470,3022,POST /purchases,200,OK,Point of Sales API 1-6,text,true,,443,1953,18,18,3022,0,52
1534797993739,3152,POST /purchases,200,OK,Point of Sales API 1-16,text,true,,443,1953,18,18,3152,0,54
1534797992800,4099,POST /purchases,200,OK,Point of Sales API 1-7,text,true,,443,1953,18,18,4099,0,52
1534797993285,3982,POST /purchases,200,OK,Point of Sales API 1-2,text,true,,443,1953,18,18,3982,0,58
1534797984136,13525,POST /purchases,200,OK,Point of Sales API 1-8,text,true,,443,1953,19,19,13525,0,55
1534797994587,3198,POST /purchases,200,OK,Point of Sales API 1-15,text,true,,443,1953,19,19,3198,0,45
1534797993473,4388,POST /purchases,200,OK,Point of Sales API 1-12,text,true,,443,1953,19,19,4388,0,50
1534797997268,1132,POST /purchases,200,OK,Point of Sales API 1-2,text,true,,443,1953,19,19,1132,0,44
1534797985573,12992,POST /purchases,200,OK,Point of Sales API 1-4,text,true,,443,1953,20,20,12992,0,50
1534797994938,3659,POST /purchases,200,OK,Point of Sales API 1-17,text,true,,443,1953,20,20,3659,0,54
1534797985336,14647,POST /purchases,200,OK,Point of Sales API 1-9,text,true,,443,1953,21,21,14647,0,56
1534797997861,2228,POST /purchases,200,OK,Point of Sales API 1-12,text,true,,443,1953,21,21,2228,0,11
1534797999740,1538,POST /purchases,200,OK,Point of Sales API 1-21,text,true,,443,1953,22,22,1538,0,52
1534798000090,1879,POST /purchases,200,OK,Point of Sales API 1-12,text,true,,443,1953,22,22,1879,0,63
